Symbol,Date,Close
CSL,3-Jan-12,32.04
CSL,4-Jan-12,32.15
CSL,5-Jan-12,31.96
CSL,6-Jan-12,31.72
CSL,9-Jan-12,31.68
CSL,10-Jan-12,32.05
CSL,11-Jan-12,31.92
CSL,12-Jan-12,31.8
CSL,13-Jan-12,31.87
CSL,16-Jan-12,31.49
CSL,17-Jan-12,31.32
CSL,18-Jan-12,31.2
CSL,19-Jan-12,31.37
CSL,20-Jan-12,31.5
CSL,23-Jan-12,31.25
CSL,24-Jan-12,30.56
CSL,25-Jan-12,30.96
CSL,27-Jan-12,30.87
CSL,30-Jan-12,30.77
CSL,31-Jan-12,31.13
CSL,1/02/2012,31.35
CSL,2/02/2012,30.94
CSL,3/02/2012,30.44
CSL,6/02/2012,30
CSL,7/02/2012,29.8
CSL,8/02/2012,30.44
CSL,9/02/2012,30.81
CSL,10/02/2012,30.57
CSL,13-Feb-12,31.08
CSL,14-Feb-12,30.78
CSL,15-Feb-12,30.79
CSL,16-Feb-12,30.15
CSL,17-Feb-12,30.37
CSL,20-Feb-12,30.81
CSL,21-Feb-12,30.95
CSL,22-Feb-12,31.72
CSL,23-Feb-12,32.36
CSL,24-Feb-12,32.9
CSL,27-Feb-12,32.44
CSL,28-Feb-12,33.19
CSL,29-Feb-12,32.78
CSL,1/03/2012,32.53
CSL,2/03/2012,32.87
CSL,5/03/2012,33
CSL,6/03/2012,32.9
CSL,7/03/2012,32.5
CSL,8/03/2012,32.4
CSL,9/03/2012,33
CSL,12/03/2012,32.9
CSL,13-Mar-12,33.54
CSL,14-Mar-12,33.53
CSL,15-Mar-12,33.68
CSL,16-Mar-12,33.61
CSL,19-Mar-12,34
CSL,20-Mar-12,33.8
CSL,21-Mar-12,33.66
CSL,22-Mar-12,33.68
CSL,23-Mar-12,34.22
CSL,26-Mar-12,34.12
CSL,27-Mar-12,34.49
CSL,28-Mar-12,35.15
CSL,29-Mar-12,36.3
CSL,30-Mar-12,35.89
CSL,2/04/2012,35.52
CSL,3/04/2012,35.47
CSL,4/04/2012,36
CSL,5/04/2012,36.4
CSL,10/04/2012,35.26
CSL,11/04/2012,35.39
CSL,12/04/2012,35.8
CSL,13-Apr-12,36.35
CSL,16-Apr-12,36.27
CSL,17-Apr-12,36.87
CSL,18-Apr-12,36.78
CSL,19-Apr-12,36.89
CSL,20-Apr-12,37.7
CSL,23-Apr-12,37.35
CSL,24-Apr-12,37.26
CSL,26-Apr-12,38.02
CSL,27-Apr-12,36.9
CSL,30-Apr-12,36.66
CSL,1/05/2012,37.33
CSL,2/05/2012,37.75
CSL,3/05/2012,37.9
CSL,4/05/2012,37.44
CSL,7/05/2012,37.06
CSL,8/05/2012,37.36
CSL,9/05/2012,37.19
CSL,10/05/2012,37.45
CSL,11/05/2012,37.97
CSL,14-May-12,38.36
CSL,15-May-12,37.93
CSL,16-May-12,37.05
CSL,17-May-12,36.81
CSL,18-May-12,36.55
CSL,21-May-12,36.99
CSL,22-May-12,37.36
CSL,23-May-12,37.19
CSL,24-May-12,37.8
CSL,25-May-12,37.18
CSL,28-May-12,37.23
CSL,29-May-12,36.91
CSL,30-May-12,37.16
CSL,31-May-12,37.65
CSL,1/06/2012,37.89
CSL,4/06/2012,37.78
CSL,5/06/2012,38.33
CSL,6/06/2012,38.9
CSL,7/06/2012,39.4
CSL,8/06/2012,39.24
CSL,12/06/2012,39.82
CSL,13-Jun-12,39.75
CSL,14-Jun-12,39.2
CSL,15-Jun-12,38.94
CSL,18-Jun-12,39.3
CSL,19-Jun-12,39.33
CSL,20-Jun-12,38.85
CSL,21-Jun-12,38.53
CSL,22-Jun-12,38.22
CSL,25-Jun-12,38.03
CSL,26-Jun-12,38.7
CSL,27-Jun-12,38.9
CSL,28-Jun-12,39.47
CSL,29-Jun-12,39.42
CSL,2/07/2012,38.75
CSL,3/07/2012,38.62
CSL,4/07/2012,38.45
CSL,5/07/2012,39.05
CSL,6/07/2012,38.82
CSL,9/07/2012,38.9
CSL,10/07/2012,39.15
CSL,11/07/2012,38.5
CSL,12/07/2012,39.35
CSL,13-Jul-12,39.11
CSL,16-Jul-12,39.18
CSL,17-Jul-12,39.66
CSL,18-Jul-12,40.28
CSL,19-Jul-12,41
CSL,20-Jul-12,41
CSL,23-Jul-12,40.5
CSL,24-Jul-12,40.3
CSL,25-Jul-12,41.1
CSL,26-Jul-12,41.41
CSL,27-Jul-12,42.26
CSL,30-Jul-12,42.8
CSL,31-Jul-12,42.7
CSL,1/08/2012,42.37
CSL,2/08/2012,41.35
CSL,3/08/2012,40.28
CSL,6/08/2012,40.54
CSL,7/08/2012,39.86
CSL,8/08/2012,39.89
CSL,9/08/2012,39.67
CSL,10/08/2012,39.59
CSL,13-Aug-12,39.36
CSL,14-Aug-12,40.08
CSL,15-Aug-12,40.2
CSL,16-Aug-12,40.08
CSL,17-Aug-12,39.94
CSL,20-Aug-12,40.91
CSL,21-Aug-12,41.33
CSL,22-Aug-12,42
CSL,23-Aug-12,41.8
CSL,24-Aug-12,42.3
CSL,27-Aug-12,42.15
CSL,28-Aug-12,42.98
CSL,29-Aug-12,43.25
CSL,30-Aug-12,44.08
CSL,31-Aug-12,44.43
CSL,3/09/2012,44.5
CSL,4/09/2012,44.3
CSL,5/09/2012,45.54
CSL,6/09/2012,45.09
CSL,7/09/2012,44.01
CSL,10/09/2012,43.88
CSL,11/09/2012,44.85
CSL,12/09/2012,44.71
CSL,13-Sep-12,44.13
CSL,14-Sep-12,43.5
CSL,17-Sep-12,42.25
CSL,18-Sep-12,42.87
CSL,19-Sep-12,43.69
CSL,20-Sep-12,43.87
CSL,21-Sep-12,43.94
CSL,24-Sep-12,44.53
CSL,25-Sep-12,44.31
CSL,26-Sep-12,45.18
CSL,27-Sep-12,46
CSL,28-Sep-12,46
CSL,1/10/2012,45.76
CSL,2/10/2012,45.92
CSL,3/10/2012,45.13
CSL,4/10/2012,45.3
CSL,5/10/2012,45.85
CSL,8/10/2012,46.07
CSL,9/10/2012,46.55
CSL,10/10/2012,47.04
CSL,11/10/2012,47.3
CSL,12/10/2012,46.43
CSL,15-Oct-12,46.57
CSL,16-Oct-12,46.74
CSL,17-Oct-12,47.71
CSL,18-Oct-12,47.78
CSL,19-Oct-12,47.44
CSL,22-Oct-12,46.75
CSL,23-Oct-12,46.64
CSL,24-Oct-12,46.58
CSL,25-Oct-12,46.87
CSL,26-Oct-12,46.3
CSL,29-Oct-12,46.19
CSL,30-Oct-12,46.4
CSL,31-Oct-12,47.5
CSL,1/11/2012,46.89
CSL,2/11/2012,46.78
CSL,5/11/2012,47
CSL,6/11/2012,47.4
CSL,7/11/2012,48
CSL,8/11/2012,47.75
CSL,9/11/2012,48.4
CSL,12/11/2012,48.05
CSL,13-Nov-12,48.01
CSL,14-Nov-12,47.92
CSL,15-Nov-12,47.65
CSL,16-Nov-12,47.94
CSL,19-Nov-12,48.38
CSL,20-Nov-12,48.7
CSL,21-Nov-12,47.49
CSL,22-Nov-12,47.58
CSL,23-Nov-12,47.36
CSL,26-Nov-12,46.78
CSL,27-Nov-12,50.01
CSL,28-Nov-12,50.3
CSL,29-Nov-12,51.75
CSL,30-Nov-12,51.7
CSL,3/12/2012,52.94
CSL,4/12/2012,53.4
CSL,5/12/2012,52.95
CSL,6/12/2012,53.45
CSL,7/12/2012,54.77
CSL,10/12/2012,53.53
CSL,11/12/2012,53.15
CSL,12/12/2012,54.52
CSL,13-Dec-12,54.32
CSL,14-Dec-12,54.01
CSL,17-Dec-12,53.35
CSL,18-Dec-12,53.42
CSL,19-Dec-12,53.6
CSL,20-Dec-12,54.13
CSL,21-Dec-12,54.05
CSL,24-Dec-12,54.2
CSL,27-Dec-12,53.97
CSL,28-Dec-12,54.38
CSL,31-Dec-12,53.9
CSL,2/01/2013,53.69
CSL,3/01/2013,53.4
CSL,4/01/2013,52.57
CSL,7/01/2013,52.45
CSL,8/01/2013,52.24
CSL,9/01/2013,52.3
CSL,10/01/2013,52.39
CSL,11/01/2013,51.95
CSL,14-Jan-13,51.75
CSL,15-Jan-13,52.37
CSL,16-Jan-13,54.21
CSL,17-Jan-13,54.55
CSL,18-Jan-13,54.61
CSL,21-Jan-13,54.15
CSL,22-Jan-13,53.95
CSL,23-Jan-13,52.65
CSL,24-Jan-13,52.75
CSL,25-Jan-13,53.05
CSL,29-Jan-13,55
CSL,30-Jan-13,55.4
CSL,31-Jan-13,54.94
CSL,1/02/2013,54.72
CSL,4/02/2013,54.5
CSL,5/02/2013,54.89
CSL,6/02/2013,56.06
CSL,7/02/2013,56.23
CSL,8/02/2013,57.51
CSL,11/02/2013,57.04
CSL,12/02/2013,57.24
CSL,13-Feb-13,57.21
CSL,14-Feb-13,56.4
CSL,15-Feb-13,55.84
CSL,18-Feb-13,56.59
CSL,19-Feb-13,57.59
CSL,20-Feb-13,57.86
CSL,21-Feb-13,57.55
CSL,22-Feb-13,58.56
CSL,25-Feb-13,58.61
CSL,26-Feb-13,58.25
CSL,27-Feb-13,58.85
CSL,28-Feb-13,60
CSL,1/03/2013,59.98
CSL,4/03/2013,59.91
CSL,5/03/2013,59.9
CSL,6/03/2013,60.35
CSL,7/03/2013,59.47
CSL,8/03/2013,59.85
CSL,11/03/2013,60.27
CSL,12/03/2013,60.43
CSL,13-Mar-13,60.03
CSL,14-Mar-13,59.7
CSL,15-Mar-13,61.75
CSL,18-Mar-13,60.21
CSL,19-Mar-13,59.25
CSL,20-Mar-13,58.85
CSL,21-Mar-13,58.75
CSL,22-Mar-13,58.49
CSL,25-Mar-13,58.92
CSL,26-Mar-13,58.5
CSL,27-Mar-13,59
CSL,28-Mar-13,59.23
CSL,2/04/2013,59.17
CSL,3/04/2013,59.07
CSL,4/04/2013,59.06
CSL,5/04/2013,58.3
CSL,8/04/2013,58.7
CSL,9/04/2013,58.35
CSL,10/04/2013,57.99
CSL,11/04/2013,59.35
CSL,12/04/2013,59.28
CSL,15-Apr-13,58.8
CSL,16-Apr-13,59.17
CSL,17-Apr-13,60.36
CSL,18-Apr-13,59.91
CSL,19-Apr-13,60.05
CSL,22-Apr-13,60.2
