Symbol,Date,Close
IPL,3/01/2012,3.14
IPL,4/01/2012,3.18
IPL,5/01/2012,3.1
IPL,6/01/2012,3.07
IPL,9/01/2012,3.05
IPL,10/01/2012,3.09
IPL,11/01/2012,3.1
IPL,12/01/2012,3.15
IPL,13/01/2012,3.15
IPL,16/01/2012,3.11
IPL,17/01/2012,3.17
IPL,18/01/2012,3.2
IPL,19/01/2012,3.19
IPL,20/01/2012,3.2
IPL,23/01/2012,3.24
IPL,24/01/2012,3.22
IPL,25/01/2012,3.22
IPL,27/01/2012,3.22
IPL,30/01/2012,3.16
IPL,31/01/2012,3.21
IPL,1/02/2012,3.15
IPL,2/02/2012,3.12
IPL,3/02/2012,3.14
IPL,6/02/2012,3.23
IPL,7/02/2012,3.21
IPL,8/02/2012,3.31
IPL,9/02/2012,3.35
IPL,10/02/2012,3.34
IPL,13/02/2012,3.4
IPL,14/02/2012,3.39
IPL,15/02/2012,3.39
IPL,16/02/2012,3.3
IPL,17/02/2012,3.3
IPL,20/02/2012,3.38
IPL,21/02/2012,3.41
IPL,22/02/2012,3.33
IPL,23/02/2012,3.32
IPL,24/02/2012,3.33
IPL,27/02/2012,3.3
IPL,28/02/2012,3.25
IPL,29/02/2012,3.26
IPL,1/03/2012,3.19
IPL,2/03/2012,3.18
IPL,5/03/2012,3.17
IPL,6/03/2012,3.09
IPL,7/03/2012,3.09
IPL,8/03/2012,3.09
IPL,9/03/2012,3.16
IPL,12/03/2012,3.19
IPL,13/03/2012,3.2
IPL,14/03/2012,3.28
IPL,15/03/2012,3.28
IPL,16/03/2012,3.28
IPL,19/03/2012,3.26
IPL,20/03/2012,3.2
IPL,21/03/2012,3.19
IPL,22/03/2012,3.17
IPL,23/03/2012,3.11
IPL,26/03/2012,3.1
IPL,27/03/2012,3.13
IPL,28/03/2012,3.14
IPL,29/03/2012,3.17
IPL,30/03/2012,3.15
IPL,2/04/2012,3.12
IPL,3/04/2012,3.1
IPL,4/04/2012,3.09
IPL,5/04/2012,3.06
IPL,10/04/2012,3.11
IPL,11/04/2012,3.09
IPL,12/04/2012,3.12
IPL,13/04/2012,3.2
IPL,16/04/2012,3.16
IPL,17/04/2012,3.23
IPL,18/04/2012,3.29
IPL,19/04/2012,3.27
IPL,20/04/2012,3.26
IPL,23/04/2012,3.24
IPL,24/04/2012,3.24
IPL,26/04/2012,3.27
IPL,27/04/2012,3.25
IPL,30/04/2012,3.27
IPL,1/05/2012,3.29
IPL,2/05/2012,3.34
IPL,3/05/2012,3.35
IPL,4/05/2012,3.3
IPL,7/05/2012,3.21
IPL,8/05/2012,3.32
IPL,9/05/2012,3.24
IPL,10/05/2012,3.24
IPL,11/05/2012,3.16
IPL,14/05/2012,3.17
IPL,15/05/2012,3.09
IPL,16/05/2012,3.04
IPL,17/05/2012,3.08
IPL,18/05/2012,2.94
IPL,21/05/2012,2.9
IPL,22/05/2012,2.89
IPL,23/05/2012,2.78
IPL,24/05/2012,2.73
IPL,25/05/2012,2.8
IPL,28/05/2012,2.8
IPL,29/05/2012,2.86
IPL,30/05/2012,2.84
IPL,31/05/2012,2.84
IPL,1/06/2012,2.78
IPL,4/06/2012,2.63
IPL,5/06/2012,2.74
IPL,6/06/2012,2.64
IPL,7/06/2012,2.7
IPL,8/06/2012,2.67
IPL,12/06/2012,2.74
IPL,13/06/2012,2.7
IPL,14/06/2012,2.63
IPL,15/06/2012,2.66
IPL,18/06/2012,2.69
IPL,19/06/2012,2.74
IPL,20/06/2012,2.81
IPL,21/06/2012,2.79
IPL,22/06/2012,2.75
IPL,25/06/2012,2.79
IPL,26/06/2012,2.79
IPL,27/06/2012,2.86
IPL,28/06/2012,2.83
IPL,29/06/2012,2.85
IPL,2/07/2012,2.92
IPL,3/07/2012,2.97
IPL,4/07/2012,3.04
IPL,5/07/2012,3.02
IPL,6/07/2012,2.99
IPL,9/07/2012,2.9
IPL,10/07/2012,2.9
IPL,11/07/2012,2.93
IPL,12/07/2012,2.82
IPL,13/07/2012,2.79
IPL,16/07/2012,2.79
IPL,17/07/2012,2.79
IPL,18/07/2012,2.88
IPL,19/07/2012,2.98
IPL,20/07/2012,2.99
IPL,23/07/2012,2.9
IPL,24/07/2012,2.93
IPL,25/07/2012,2.88
IPL,26/07/2012,2.89
IPL,27/07/2012,2.95
IPL,30/07/2012,2.99
IPL,31/07/2012,3.11
IPL,1/08/2012,3.14
IPL,2/08/2012,3.13
IPL,3/08/2012,3.11
IPL,6/08/2012,3.15
IPL,7/08/2012,3.12
IPL,8/08/2012,3.04
IPL,9/08/2012,3.01
IPL,10/08/2012,3.02
IPL,13/08/2012,3.07
IPL,14/08/2012,3.05
IPL,15/08/2012,3.04
IPL,16/08/2012,3.09
IPL,17/08/2012,3.1
IPL,20/08/2012,3.1
IPL,21/08/2012,3.11
IPL,22/08/2012,3.1
IPL,23/08/2012,3.12
IPL,24/08/2012,3.05
IPL,27/08/2012,3.03
IPL,28/08/2012,3.04
IPL,29/08/2012,3.02
IPL,30/08/2012,2.96
IPL,31/08/2012,2.91
IPL,3/09/2012,2.9
IPL,4/09/2012,2.89
IPL,5/09/2012,2.76
IPL,6/09/2012,2.78
IPL,7/09/2012,2.85
IPL,10/09/2012,2.84
IPL,11/09/2012,2.83
IPL,12/09/2012,2.93
IPL,13/09/2012,2.98
IPL,14/09/2012,3.05
IPL,17/09/2012,3.02
IPL,18/09/2012,2.96
IPL,19/09/2012,2.89
IPL,20/09/2012,2.87
IPL,21/09/2012,2.9
IPL,24/09/2012,2.89
IPL,25/09/2012,2.87
IPL,26/09/2012,2.89
IPL,27/09/2012,3
IPL,28/09/2012,2.98
IPL,1/10/2012,2.98
IPL,2/10/2012,3.03
IPL,3/10/2012,3.07
IPL,4/10/2012,3.1
IPL,5/10/2012,3.15
IPL,8/10/2012,3.12
IPL,9/10/2012,3.13
IPL,10/10/2012,3.16
IPL,11/10/2012,3.14
IPL,12/10/2012,3.19
IPL,15/10/2012,3.22
IPL,16/10/2012,3.23
IPL,17/10/2012,3.3
IPL,18/10/2012,3.29
IPL,19/10/2012,3.28
IPL,22/10/2012,3.25
IPL,23/10/2012,3.3
IPL,24/10/2012,3.25
IPL,25/10/2012,3.24
IPL,26/10/2012,3.15
IPL,29/10/2012,3.15
IPL,30/10/2012,3.15
IPL,31/10/2012,3.16
IPL,1/11/2012,3.11
IPL,2/11/2012,3.12
IPL,5/11/2012,3.1
IPL,6/11/2012,3.12
IPL,7/11/2012,3.12
IPL,8/11/2012,3.08
IPL,9/11/2012,3.07
IPL,12/11/2012,2.91
IPL,13/11/2012,3.02
IPL,14/11/2012,3.12
IPL,15/11/2012,3.06
IPL,16/11/2012,2.97
IPL,19/11/2012,2.95
IPL,20/11/2012,3.01
IPL,21/11/2012,3.04
IPL,22/11/2012,3.12
IPL,23/11/2012,3.16
IPL,26/11/2012,3.15
IPL,27/11/2012,3.14
IPL,28/11/2012,3.07
IPL,29/11/2012,3.11
IPL,30/11/2012,3.15
IPL,3/12/2012,3.19
IPL,4/12/2012,3.16
IPL,5/12/2012,3.18
IPL,6/12/2012,3.2
IPL,7/12/2012,3.2
IPL,10/12/2012,3.2
IPL,11/12/2012,3.23
IPL,12/12/2012,3.23
IPL,13/12/2012,3.26
IPL,14/12/2012,3.29
IPL,17/12/2012,3.25
IPL,18/12/2012,3.21
IPL,19/12/2012,3.27
IPL,20/12/2012,3.26
IPL,21/12/2012,3.2
IPL,24/12/2012,3.17
IPL,27/12/2012,3.23
IPL,28/12/2012,3.24
IPL,31/12/2012,3.23
IPL,2/01/2013,3.26
IPL,3/01/2013,3.27
IPL,4/01/2013,3.25
IPL,7/01/2013,3.28
IPL,8/01/2013,3.28
IPL,9/01/2013,3.28
IPL,10/01/2013,3.27
IPL,11/01/2013,3.2
IPL,14/01/2013,3.21
IPL,15/01/2013,3.23
IPL,16/01/2013,3.18
IPL,17/01/2013,3.17
IPL,18/01/2013,3.16
IPL,21/01/2013,3.17
IPL,22/01/2013,3.14
IPL,23/01/2013,3.1
IPL,24/01/2013,3.1
IPL,25/01/2013,3.1
IPL,29/01/2013,3.16
IPL,30/01/2013,3.24
IPL,31/01/2013,3.23
IPL,1/02/2013,3.18
IPL,4/02/2013,3.23
IPL,5/02/2013,3.19
IPL,6/02/2013,3.23
IPL,7/02/2013,3.22
IPL,8/02/2013,3.21
IPL,11/02/2013,3.16
IPL,12/02/2013,3.18
IPL,13/02/2013,3.19
IPL,14/02/2013,3.22
IPL,15/02/2013,3.15
IPL,18/02/2013,3.17
IPL,19/02/2013,3.21
IPL,20/02/2013,3.23
IPL,21/02/2013,3.25
IPL,22/02/2013,3.26
IPL,25/02/2013,3.26
IPL,26/02/2013,3.19
IPL,27/02/2013,3.17
IPL,28/02/2013,3.23
IPL,1/03/2013,3.15
IPL,4/03/2013,3.13
IPL,5/03/2013,3.2
IPL,6/03/2013,3.2
IPL,7/03/2013,3.14
IPL,8/03/2013,3.19
IPL,11/03/2013,3.25
IPL,12/03/2013,3.26
IPL,13/03/2013,3.26
IPL,14/03/2013,3.21
IPL,15/03/2013,3.34
IPL,18/03/2013,3.24
IPL,19/03/2013,3.16
IPL,20/03/2013,3.12
IPL,21/03/2013,3.1
IPL,22/03/2013,3.04
IPL,25/03/2013,3.06
IPL,26/03/2013,3.06
IPL,27/03/2013,3.12
IPL,28/03/2013,3.09
IPL,2/04/2013,3.07
IPL,3/04/2013,3
IPL,4/04/2013,2.9
IPL,5/04/2013,3.03
IPL,8/04/2013,3.01
IPL,9/04/2013,3.06
IPL,10/04/2013,3.07
IPL,11/04/2013,3.08
IPL,12/04/2013,3.08
IPL,15/04/2013,2.98
IPL,16/04/2013,2.89
IPL,17/04/2013,2.84
IPL,18/04/2013,2.76
IPL,19/04/2013,2.87
IPL,22/04/2013,2.95
IPL,23/04/2013,2.96
IPL,24/04/2013,3.01
IPL,26/04/2013,2.95
IPL,29/04/2013,2.94
IPL,30/04/2013,2.89
IPL,1/05/2013,2.91
IPL,2/05/2013,2.86
IPL,3/05/2013,2.83
IPL,6/05/2013,2.86
IPL,7/05/2013,2.86
IPL,8/05/2013,2.9
IPL,9/05/2013,2.83
IPL,10/05/2013,2.83
IPL,13/05/2013,2.93
IPL,14/05/2013,3
IPL,15/05/2013,2.98
IPL,16/05/2013,3
IPL,17/05/2013,2.86
IPL,20/05/2013,2.86
IPL,21/05/2013,2.8
IPL,22/05/2013,2.83
IPL,23/05/2013,2.79
IPL,24/05/2013,2.79
IPL,27/05/2013,2.76
IPL,28/05/2013,2.79
IPL,29/05/2013,2.8
IPL,30/05/2013,2.81
IPL,31/05/2013,2.92
IPL,3/06/2013,2.86
IPL,4/06/2013,2.86
IPL,5/06/2013,2.82
IPL,6/06/2013,2.79
IPL,7/06/2013,2.72
IPL,11/06/2013,2.79
IPL,12/06/2013,2.7
IPL,13/06/2013,2.75
IPL,14/06/2013,2.74
IPL,17/06/2013,2.75
IPL,18/06/2013,2.73
IPL,19/06/2013,2.79
IPL,20/06/2013,2.74
IPL,21/06/2013,2.78
IPL,24/06/2013,2.81
IPL,25/06/2013,2.81
IPL,26/06/2013,2.85
IPL,27/06/2013,2.85
IPL,28/06/2013,2.86
IPL,1/07/2013,2.78
IPL,2/07/2013,2.88
IPL,3/07/2013,2.84
IPL,4/07/2013,2.87
IPL,5/07/2013,2.9
IPL,8/07/2013,2.88
IPL,9/07/2013,2.87
IPL,10/07/2013,2.89
IPL,11/07/2013,2.9
IPL,12/07/2013,2.91
IPL,15/07/2013,2.88
IPL,16/07/2013,2.87
IPL,17/07/2013,2.87
IPL,18/07/2013,2.84
IPL,19/07/2013,2.77
IPL,22/07/2013,2.69
IPL,23/07/2013,2.7
IPL,24/07/2013,2.68
IPL,25/07/2013,2.65
IPL,26/07/2013,2.7
IPL,29/07/2013,2.69
IPL,30/07/2013,2.66
IPL,31/07/2013,2.63
IPL,1/08/2013,2.69
IPL,2/08/2013,2.72
IPL,5/08/2013,2.73
IPL,6/08/2013,2.66
IPL,7/08/2013,2.62
IPL,8/08/2013,2.64
IPL,9/08/2013,2.68
IPL,12/08/2013,2.71
IPL,13/08/2013,2.76
IPL,14/08/2013,2.78
IPL,15/08/2013,2.76
IPL,16/08/2013,2.72
IPL,19/08/2013,2.75
IPL,20/08/2013,2.72
IPL,21/08/2013,2.72
IPL,22/08/2013,2.69
IPL,23/08/2013,2.71
IPL,26/08/2013,2.71
IPL,27/08/2013,2.67
IPL,28/08/2013,2.61
IPL,29/08/2013,2.6
IPL,30/08/2013,2.59
IPL,2/09/2013,2.61
IPL,3/09/2013,2.66
IPL,4/09/2013,2.62
IPL,5/09/2013,2.63
IPL,6/09/2013,2.63
IPL,9/09/2013,2.65
IPL,10/09/2013,2.66
IPL,11/09/2013,2.74
IPL,12/09/2013,2.69
IPL,13/09/2013,2.7
IPL,16/09/2013,2.68
IPL,17/09/2013,2.67
IPL,18/09/2013,2.71
IPL,19/09/2013,2.73
IPL,20/09/2013,2.75
IPL,23/09/2013,2.75
IPL,24/09/2013,2.72
IPL,25/09/2013,2.72
IPL,26/09/2013,2.72
IPL,27/09/2013,2.73
IPL,30/09/2013,2.69
IPL,1/10/2013,2.66
IPL,2/10/2013,2.65
IPL,3/10/2013,2.69
IPL,4/10/2013,2.69
IPL,7/10/2013,2.64
IPL,8/10/2013,2.65
IPL,9/10/2013,2.64
IPL,10/10/2013,2.63
IPL,11/10/2013,2.64
IPL,14/10/2013,2.64
IPL,15/10/2013,2.66
IPL,16/10/2013,2.66
IPL,17/10/2013,2.65
IPL,18/10/2013,2.69
IPL,21/10/2013,2.69
IPL,22/10/2013,2.69
IPL,23/10/2013,2.68
IPL,24/10/2013,2.64
IPL,25/10/2013,2.64
IPL,28/10/2013,2.65
IPL,29/10/2013,2.64
IPL,30/10/2013,2.64
IPL,31/10/2013,2.66
IPL,1/11/2013,2.64
IPL,4/11/2013,2.63
IPL,5/11/2013,2.66
IPL,6/11/2013,2.64
IPL,7/11/2013,2.64
IPL,8/11/2013,2.63
IPL,11/11/2013,2.61
IPL,12/11/2013,2.8
IPL,13/11/2013,2.8
IPL,14/11/2013,2.8
IPL,15/11/2013,2.7
IPL,18/11/2013,2.71
IPL,19/11/2013,2.7
IPL,20/11/2013,2.7
IPL,21/11/2013,2.61
IPL,22/11/2013,2.64
IPL,25/11/2013,2.65
IPL,26/11/2013,2.61
IPL,27/11/2013,2.58
IPL,28/11/2013,2.58
IPL,29/11/2013,2.59
IPL,2/12/2013,2.63
IPL,3/12/2013,2.57
IPL,4/12/2013,2.51
IPL,5/12/2013,2.45
IPL,6/12/2013,2.47
IPL,9/12/2013,2.37
IPL,10/12/2013,2.37
IPL,11/12/2013,2.37
IPL,12/12/2013,2.42
IPL,13/12/2013,2.51
IPL,16/12/2013,2.57
IPL,17/12/2013,2.53
IPL,18/12/2013,2.47
IPL,19/12/2013,2.56
IPL,20/12/2013,2.66
IPL,23/12/2013,2.69
